direcciones,lat,lon,num_accidentes
"calle 80 carrera 80, EL DIAMANTE, robledo, medellín","6,284437","-75,5841597",140
"calle 67 carrera 55, UNIVERSIDAD DE ANTIOQUIA, aranjuez, medellín","6,2677479","-75,5688416",138
"carrera 80 calle 50, LOS COLORES, laureles estadio, medellín","6,2625739","-75,5947823",137
"carrera 1 calle 1, SUBURBANO EL PLAN, corregimiento de santa elena, medellín","6,2091026","-75,497758",136
"carrera 55 calle 41, CENTRO ADMINISTRATIVO, la candelaria, medellín","6,2424872","-75,5752189",136
"carrera 49 calle 10, MANILA, el poblado, medellín","6,2120062","-75,5740143",132
"calle 67 carrera 52, SEVILLA, aranjuez, medellín","6,2643796","-75,5663724",131
"carrera 63 calle 67, UNIVERSIDAD NACIONAL, robledo, medellín","6,2656731","-75,5747958",131
"carrera 57 calle 45, GUAYAQUIL, la candelaria, medellín","6,2475785","-75,5750619",131
"carrera 48 calle 7, PATIO BONITO, el poblado, medellín","6,2087851","-75,5766276",130
"carrera 63 calle 58, UNIVERSIDAD NACIONAL, robledo, medellín","6,3420263","-75,5670331",129
"carrera 52 calle 14, SANTA FÉ, guayabal, medellín","6,2177729","-75,5805851",129
"carrera 55 calle 44, GUAYAQUIL, la candelaria, medellín","6,2462176","-75,5744983",128
"calle 76 carrera 80, VILLA FLORA, robledo, medellín","6,2773486","-75,5894256",128
"carrera 52 calle 78, MIRANDA, aranjuez, medellín","6,2728788","-75,5644801",128
"carrera 46 calle 48, LA CANDELARIA, la candelaria, medellín","6,2467787","-75,5662475",127
"carrera 43 A calle 6 Sur, LOS BALSOS NO.2, el poblado, medellín","6,1992219","-75,5733142",127
"carrera 46 calle 41, BARRIO COLÓN, la candelaria, medellín","6,2411004","-75,5697206",127
"carrera 46 calle 53, LA CANDELARIA, la candelaria, medellín","6,2505456","-75,5638417",127
"carrera 62 calle 50, SAN BENITO, la candelaria, medellín","6,2465961","-75,5784849",126
"carrera 80 calle 44, LA AMÉRICA, la américa, medellín","6,2507048","-75,6028165",125
"carrera 38 calle 26, SAN DIEGO, la candelaria, medellín","6,2245397","-75,5658604",125
"carrera 62 calle 44, CORAZÓN DE JESÚS, la candelaria, medellín","6,2491376","-75,5792172",125
"calle 44 carrera 51, GUAYAQUIL, la candelaria, medellín","6,2447754","-75,5707483",125
"carrera 65 calle 14, SANTA FÉ, guayabal, medellín","6,2178003","-75,5815115",125
"carrera 66 B calle 34 A, LOS CONQUISTADORES, laureles estadio, medellín","6,2408799","-75,5881126",124
"calle 58 carrera 63, UNIVERSIDAD NACIONAL, robledo, medellín","6,1782804","-75,6437343",123
"carrera 62 calle 58, EL CHAGUALO, la candelaria, medellín","6,2547209","-75,5621789",123
"calle 44 carrera 59, CORAZÓN DE JESÚS, la candelaria, medellín","6,247204","-75,5775604",122
"calle 58 carrera 49, VILLA NUEVA, la candelaria, medellín","6,253722","-75,5644397",122
"calle 44 carrera 70, FLORIDA NUEVA, laureles estadio, medellín","6,24917","-75,5888245",121
"carrera 48 calle 14, VILLA CARLOTA, el poblado, medellín","6,214952","-75,5760158",119
"DG 64 E calle 67, CARIBE, castilla, medellín","6,2674063","-75,5761529",117
